"Player","Team","Positions","PTS","REB","AST","BLK","STL","FG%","FT%","3PM","GP","MIN","TO"
"Mitchell Robinson","NYK","C","648","492","43","148","62",".721",".578","0","67","1,665","45"
"Devin Vassell","SAS","SG","647","214","104","30","46",".470",".754","92","67","1,406","68"
"Dwight Powell","DAL","PF,C","646","372","99","41","51",".624",".708","24","66","1,635","56"
"Darius Bazley","OKC","SF,PF","635","372","68","62","39",".418",".724","92","64","1,617","74"
"Daniel Theis","BOS","PF,C","633","438","110","83","39",".550",".759","35","67","1,649","63"
"DeMarcus Cousins","HOU","PF,C","631","360","126","55","55",".465",".727","49","50","1,215","121"
"Justin Holiday","IND","SG,SF","630","236","105","33","85",".408",".842","129","67","1,914","60"
"Jabari Parker","SAC","SF,PF","627","265","88","19","44",".511",".735","38","58","1,115","78"
"Gary Trent Jr.","POR","SG","627","129","74","23","65",".438",".803","128","65","1,638","58"
"Joe Ingles","UTH","SG,SF","627","241","319","12","58",".449",".757","126","68","1,854","124"
"Josh Okogie","MIN","PG,SG,SF","615","265","104","29","82",".426",".785","63","67","1,772","91"
"Tristan Thompson","BOS","PF,C","614","554","113","48","33",".523",".618","8","64","1,614","89"
"Josh Hart","NOR","SG,SF","614","354","106","29","63",".425",".722","111","66","1,712","67"
"Jeff Green","BKN","SF,PF,C","613","205","80","23","27",".484",".856","71","67","1,411","63"
"Draymond Green","GSW","PF,C","612","453","446","60","96",".443",".735","61","67","2,115","174"
"Langston Galloway","PHO","PG,SG","612","138","89","10","40",".422",".853","123","67","1,550","32"
"D.J. Augustin","MIL","PG","609","129","259","0","33",".452",".877","83","66","1,434","83"
"Troy Brown Jr.","WAS","SG,SF","608","325","153","6","71",".447",".764","55","67","1,575","68"
"Patty Mills","SAS","PG","608","109","142","6","43",".426",".857","115","68","1,369","59"
"Thaddeus Young","CHI","SF,PF","603","291","108","20","83",".474",".621","59","68","1,499","84"
"Moritz Wagner","WAS","PF,C","597","320","82","30","40",".528",".816","46","61","1,251","101"
"Dario Saric","PHO","PF,C","595","328","104","11","32",".464",".847","83","65","1,423","75"
"Larry Nance Jr.","CLE","PF,C","594","418","148","32","71",".530",".698","49","63","1,624","78"
"Ish Smith","WAS","PG","592","169","257","19","46",".460",".724","43","67","1,459","74"
"Patrick Williams","CHI","SF","589","248","97","37","64",".463",".753","71","66","1,519","61"
"Monte Morris","DEN","PG,SG","582","123","224","11","53",".473",".820","61","68","1,434","45"
"Maxi Kleber","DAL","PF,C","578","351","80","78","25",".473",".825","97","68","1,694","52"
"Danuel House Jr.","HOU","SF,PF,SG","577","237","69","28","57",".432",".786","111","63","1,695","48"
"Mason Plumlee","DET","PF,C","568","431","196","58","51",".595",".547","0","64","1,507","107"
"Derrick Favors","UTH","PF,C","567","482","78","59","36",".604",".622","5","64","1,372","61"
"Kent Bazemore","GSW","SG,SF","563","225","110","32","71",".396",".750","75","66","1,466","86"
"James Johnson","DAL","SF,PF,C","558","257","147","58","41",".465",".667","72","59","1,445","91"
"Danny Green","PHI","SG,SF","558","234","94","38","70",".427",".753","127","68","1,728","61"
"Markieff Morris","LAL","PF,C","553","252","82","23","34",".448",".784","74","66","1,306","67"
"Aaron Holiday","IND","PG,SG","551","130","186","15","44",".416",".843","79","65","1,375","72"
"Shake Milton","PHI","PG,SG","550","138","146","14","31",".470",".787","85","63","1,255","69"
"Tomas Satoransky","CHI","PG,SG","548","210","281","7","70",".450",".838","57","68","1,652","106"
"DeAndre Jordan","BKN","C","546","638","117","55","22",".668",".683","0","66","1,478","91"
"Justise Winslow","MEM","PF,SF","545","264","184","15","45",".436",".634","52","59","1,345","92"
"Marc Gasol","LAL","C","545","391","201","56","49",".444",".760","67","62","1,605","84"
